Sección (EN),Sección (ES),Pregunta N°,Pregunta (EN),Opción A (EN),Opción B (EN),Opción C (EN),Opción D (EN),Opción E (EN),Pregunta (ES),Opción A (ES),Opción B (ES),Opción C (ES),Opción D (ES),Opción E (ES),key_unico
Your Preferred Senses,Tus Sentidos Preferidos,1,I understand things best when I…,I can talk about the product or service I want with someone.,I can get my hands on the item or product and play/use it.,I can see someone demonstrating the product or showing me how it works.,,,Entiendo mejor las cosas cuando…,Puedo hablar sobre el producto o servicio que deseo con alguien.,Poder tener en mis manos el artículo o producto y usarlo directamente.,Puedo ver a alguien demostrando el producto o mostrándome cómo funciona.,,,Tus Sentidos Preferidos_0_Entiendo mejor las cosas cuand
Your Preferred Senses,Tus Sentidos Preferidos,2,When I have leisure time I prefer to….,"Listen to music, the radio or audio books.","Be active by doing things myself, e.g. gardening, doing sport, playing on games consoles or walking etc.","Watch things such as theatre, football, TV, streaming fims or video clips on YouTube or such like etc...",,,"Cuando tengo tiempo libre, prefiero…","Escuchar música, la radio o audiolibros.","Ser activo haciendo cosas por mí mismo, por ejemplo: jardinería, deporte, videojuegos o caminatas.","Ver cosas como teatro, fútbol, televisión, películas en streaming o videoclips en YouTube, entre otros.",,,"Tus Sentidos Preferidos_1_Cuando tengo tiempo libre, pre"
Your Preferred Senses,Tus Sentidos Preferidos,3,"When I am looking to buy a new service, I prefer to…",Discuss about the service with those who supply it and hear their thoughts,"Experience the service myself, get a feeling for it or use it practically",See the service in action whether on a screen or demonstrated by someone face to face,,,"Cuando estoy buscando comprar un nuevo servicio, prefiero…",Conversar sobre el servicio con quienes lo ofrecen y escuchar sus opiniones.,"Experimentar el servicio personalmente, tener una sensación de uso o utilizarlo de forma práctica.","Ver el servicio en acción, ya sea en una pantalla o con una demostración en persona.",,,"Tus Sentidos Preferidos_2_Cuando estoy buscando comprar "
Your Preferred Senses,Tus Sentidos Preferidos,4,"I prefer reading books, newspapers or magazines, whether physically or electronically, that…",Generate a good debate on topics or discuss other people’s views and I then discuss this with others,"That I feel connected with, interest me specifically or make me feel good or connected",Display the content in a visual format and contain a lot of colour and eye catching pictures alongside words,,,"Prefiero leer libros, periódicos o revistas, ya sean físicos o digitales, que…",Generar un buen debate sobre temas o discutir las opiniones de otras personas y luego compartirlas con otros.,"Con el que me sienta conectado, que me interese específicamente o me haga sentir bien.",Mostrar el contenido en formato visual y contener mucho color e imágenes llamativas junto a palabras.,,,"Tus Sentidos Preferidos_3_Prefiero leer libros, periódic"
Your Preferred Senses,Tus Sentidos Preferidos,5,I prefer restaurants or bars or cafes that…,"Have music, lots of noise or are quiet and you can chat or talk easily","Have space to move, have soft seating and I feel comfortable in more importantly","Are light, bright & colourful, have great views or where I can observe things or others",,,"Prefiero restaurantes, bares o cafés que…","Tener música, mucho ruido o estar en un lugar tranquilo donde se pueda conversar fácilmente.","Tener espacio para moverme, asientos cómodos y sentirme a gusto, lo cual es lo más importante.","Son lugares luminosos, alegres y coloridos, con buenas vistas o donde puedo observar cosas o personas.",,,"Tus Sentidos Preferidos_4_Prefiero restaurantes, bares o"
Your Preferred Senses,Tus Sentidos Preferidos,6,What I notice most about people is….,"How they speak, the words, tone or manner they use when they are talking.",How they make others or myself feel when they interact or whether they invade my personal  space etc.,"How they are dressed and present themselves, what they look like.",,,Lo que más noto en las personas es…,"Cómo hablan, las palabras, el tono o la manera en que se expresan.","Cómo hacen sentir a los demás o a mí al interactuar, o si invaden mi espacio personal.","Cómo se visten y se presentan, qué aspecto tienen.",,,Tus Sentidos Preferidos_5_Lo que más noto en las persona
Your Preferred Senses,Tus Sentidos Preferidos,7,When I have lots to do…,"I remind myself of all the things I must do, talking things through using internal dialogue.","I am uneasy until all or most of the tasks are complete, I worry if I am too busy and feel out of control.","I make lists, notes, visual reminders or imagine/picture myself doing the tasks at certain times of the day.",,,Cuando tengo muchas cosas por hacer…,"Me recuerdo todas las cosas que debo hacer, repasándolas mediante diálogo interno.",Me siento incómodo hasta que termino la mayoría o todas las tareas; me preocupo si tengo demasiado y pierdo el control.,"Hago listas, notas, recordatorios visuales o me imagino realizando las tareas en ciertos momentos del día.",,,"Tus Sentidos Preferidos_6_Cuando tengo muchas cosas por "
Your Preferred Senses,Tus Sentidos Preferidos,8,When I am talking to someone…,I listen carefully to what and how they explain things so that I hear what they really mean,I pay attention to how they are feeling as we talk and acknowledge their thoughts and feelings as we progress,I visualise or picture them or what they are describing or explaining as they talk it through,,,Cuando hablo con alguien…,Escucho cuidadosamente qué y cómo explican las cosas para entender su verdadero significado.,Presto atención a cómo se sienten mientras hablamos y reconozco sus pensamientos y emociones durante la conversación.,Visualizo o imagino a las personas o lo que están describiendo o explicando mientras hablan.,,,Tus Sentidos Preferidos_7_Cuando hablo con alguien…
Your Preferred Senses,Tus Sentidos Preferidos,9,When finding my way around a place/shop/location I tend to…,Prefer asking for directions when I need to find an item or location,Trust my instincts about which way to go and walk around searching for the location or item myself,Always look around for a store guide or signs that I can then follow or associated items I can look out for,,,"Cuando intento orientarme en un lugar/tienda/ubicación, tiendo a…",Prefiero pedir direcciones cuando necesito encontrar un artículo o ubicación.,Confiar en mi intuición para decidir por dónde ir y buscar el lugar o artículo por mi cuenta.,"Siempre busco guías en la tienda o señales que pueda seguir, o artículos relacionados que pueda identificar.",,,Tus Sentidos Preferidos_8_Cuando intento orientarme en u
Importance to Me (Focus),Lo que es Importante para Mí,1,The important thing about where I live is…,Friends & family that are close by,The actual location of my home or the area or where my workplace is,The activities I have around or I can do locally,The education available for any family or the history of the area or places I can visit that allow me to enjoy my hobbies,"The type of house itself, its size, value or status within the area, town or city",Lo más importante sobre el lugar donde vivo es…,Amigos y familiares que están cerca.,"La ubicación exacta de mi casa, el área o dónde está mi lugar de trabajo.",Las actividades que tengo disponibles cerca o que puedo hacer localmente.,"La educación disponible para cualquier familia, la historia del área o los lugares que puedo visitar que me permiten disfrutar de mis pasatiempos.","El tipo de vivienda en sí, su tamaño, valor o estatus dentro del área, pueblo o ciudad.",Lo que es Importante para Mí_9_Lo más importante sobre el lug
Importance to Me (Focus),Lo que es Importante para Mí,2,"When I go  out to enjoy myself, I like to","Visit or be with particular people I know, I have a few very close friends.","Visit new, different, interesting or enjoyable places or locations.","Go dancing;  do something active, be busy and fill my day doing things.","Visit places of interest, build my knowledge in hobbies or activities I am fascinated by or with","Go to markets, antique fairs, shopping centres or any other location that I can browse/buy items I am interested in.","Cuando salgo a divertirme, me gusta…",Visitar o reunirme con personas que conozco; tengo algunos amigos muy cercanos.,"Visitar lugares nuevos, diferentes, interesantes o agradables.","Bailar, hacer algo activo, estar ocupado y llenar mi día con actividades.","Visitar lugares de interés, ampliar mis conocimientos en pasatiempos o actividades que me fascinan.","Ir a mercados, ferias de antigüedades, centros comerciales u otros lugares donde pueda explorar o comprar cosas que me interesan.","Lo que es Importante para Mí_10_Cuando salgo a divertirme, me "
Importance to Me (Focus),Lo que es Importante para Mí,3,"At work, I prefer to...",Being with people and interacting with them.,Have or prefer to have my own work area.,"Keep busy, I hate not being active/busy, I focus on what I do and always have tasks to do.","Learn, grow my knowledge and expertise in the job. I research things and study things to understand them better.","Have the most up to date tools to help me do my job in terms of IT, phones, uniforms, equipment etc","En el trabajo, prefiero…",Estar con personas e interactuar con ellas.,Tener o preferir tener mi propio espacio de trabajo.,Mantenerme ocupado; detesto no estar haciendo algo. Me enfoco en lo que hago y siempre tengo tareas pendientes.,Aprender y desarrollar mi conocimiento y experiencia en el trabajo. Investigo y estudio para comprender mejor.,"Contar con las herramientas más actualizadas para hacer bien mi trabajo: tecnología, teléfonos, uniformes, equipos, etc.","Lo que es Importante para Mí_11_En el trabajo, prefiero…"
Importance to Me (Focus),Lo que es Importante para Mí,4,The things I remember most about school were....,My friends and teachers.,My actual school and its location and setting.,"The physical activities or classes on crafts, cooking, or mechanics I took part in.","The subjects I studied, the things I learnt and how I still use that knowledge now.","Items I had, the uniform, a particular school bag or items you had or the particular grades / results you got.",Lo que más recuerdo de la escuela es…,Mis amigos y maestros.,"Mi escuela en sí misma, su ubicación y entorno.","Las actividades físicas o clases de manualidades, cocina o mecánica en las que he participado.","Las materias que estudié, lo que aprendí y cómo sigo usando ese conocimiento hoy.","Los objetos que tenía, el uniforme, una mochila escolar específica o los resultados/notas obtenidas.",Lo que es Importante para Mí_12_Lo que más recuerdo de la escu
Importance to Me (Focus),Lo que es Importante para Mí,5,The ideal job for me would....,Involve working with interesting and diverse people.,Be close to where I live or near major road/rail connections etc. or have a good/interesting work environment.,"Provide variety, involve activity, not just sitting at a desk and keeps me busy.","Provide extensive opportunities to learn and grow my skills, develop my experience and expertise.","Provide me with the best tools, resources and a sufficient income to buy and do what I want to do.",El trabajo ideal para mí sería…,Involucrarme en trabajos con personas interesantes y diversas.,"Estar cerca de donde vivo o cerca de conexiones viales/ferrocarriles, o tener un entorno laboral interesante.","Ofrecer variedad, incluir actividad, no solo estar sentado en un escritorio, y mantenerme en movimiento.","Ofrecer amplias oportunidades para aprender, desarrollar habilidades y fortalecer mi experiencia.","Proporcionarme las mejores herramientas, recursos y un ingreso suficiente para comprar y hacer lo que deseo.",Lo que es Importante para Mí_13_El trabajo ideal para mí sería
Importance to Me (Focus),Lo que es Importante para Mí,6,"When I’m travelling, I like to....",Interact with the local people I meet.,Explore the surroundings whether city or countryside and get to know the location better.,"Do all the unique or specific activities of that location i.e. water sports, golf, cycling, walking etc.","Visit the museums and learn about the local history, industry or products produced i.e. wine making, food etc.",Bring back something to remember the trip by or a specific item or product from the area.,"Cuando viajo, me gusta…",Interactuar con la gente local que conozco.,"Explorar los alrededores, ya sea la ciudad o el campo, y conocer mejor el lugar.","Realizar todas las actividades únicas o específicas de ese lugar, como deportes acuáticos, golf, ciclismo, caminatas, etc.","Visitar museos y aprender sobre la historia local, la industria o productos elaborados en la zona (como el vino, la comida, etc.).",Traer algo que me recuerde el viaje o un producto específico de la zona.,"Lo que es Importante para Mí_14_Cuando viajo, me gusta…"
Importance to Me (Focus),Lo que es Importante para Mí,7,The magazines or books that I like are mainly about...,"People, or true stories (e.g. Biographies etc.)","Cities, towns, regions, holiday guides and their history and local community magazines.","Activities I do or want to do (Sports, crafts, hobbies such as gardening or cycling etc.)","Self learn topics, trade, technical, or professional Information that expands my understanding or knowledge.","Lifestyle or household items, gadgets, the latest games or quality items you desire.",Las revistas o libros que más me gustan tratan principalmente sobre…,"Personas o historias reales (por ejemplo, biografías).","Ciudades, pueblos, regiones, guías de viaje e historia local y revistas comunitarias.","Actividades que hago o quiero hacer (deportes, manualidades, pasatiempos como jardinería o ciclismo, etc.).","Aprender de forma autodidacta sobre temas técnicos, oficios o conocimientos profesionales que amplían mi entendimiento.","Artículos para el hogar o estilo de vida, dispositivos, los últimos videojuegos o productos de calidad que deseo.","Lo que es Importante para Mí_15_Las revistas o libros que más "
Importance to Me (Focus),Lo que es Importante para Mí,8,The meals I enjoy most are....,"With family, friends or where I can people watch.",At particular restaurants/cafes/bars etc. or at home.,"I like being on the move, picking at food or doing things while I eat, or I eat as quick as possible and move on.",Ones where I expand my understanding/knowledge of food and different ways of cooking and serving food etc.,When the meal has a unique approach or there is something very special about it.,Las comidas que más disfruto son…,"Estar con la familia, amigos o donde pueda observar a otras personas.",En restaurantes/cafés/barras específicos o en casa.,"Me gusta estar en movimiento, picar comida o hacer cosas mientras como, o como lo más rápido posible para seguir con lo mío.",Aquellas experiencias donde amplío mi conocimiento sobre alimentos y diferentes formas de cocinar o servir la comida.,Cuando la comida tiene un enfoque único o algo muy especial que la distingue.,Lo que es Importante para Mí_16_Las comidas que más disfruto s
