Preferencia (ES),Preferencia (EN),Zona,Acción recomendada (ES),Acción recomendada (EN)
VISUAL,VISUAL,PREDOMINANT,"Utiliza mapas mentales, esquemas y diagramas en reuniones. Comparte tus ideas visualmente para generar alineación rápida.","Use mind maps, diagrams, and visual models to share ideas clearly."
VISUAL,VISUAL,SUPPORTING,"Observa más en reuniones: lenguaje corporal, entorno. Usa colores o formas para resaltar lo que es importante.","Pay more attention to body language and use visual highlights (colors, icons)."
VISUAL,VISUAL,DEVELOPMENTAL,Practica visualizar ideas antes de actuar. Crea un “tablero visual” con tus objetivos o proyectos para integrarlo en tu pensamiento diario.,Practice visualizing your ideas and goals using drawings or mood boards.
AUDITIVO,HEARING,PREDOMINANT,"Refuerza tu impacto reforzando lo que dices con tono, pausas y ritmo. Usa técnicas de narración para captar atención.","Enhance impact with tone, pauses, and voice rhythm. Use storytelling techniques."
AUDITIVO,HEARING,SUPPORTING,Participa más en debates y foros donde puedas escuchar diferentes voces. Repite lo que otros dijeron para mejorar tu escucha activa.,Join discussions and reflect back what you hear. Summarize conversations aloud.
AUDITIVO,HEARING,DEVELOPMENTAL,"Haz ejercicios de escucha activa: no interrumpas, resume lo que escuchaste. Graba tus reuniones y analízalas para identificar mejoras.",Practice active listening. Record and review meetings. Focus on verbal flow.
KINESTÉSICO,FEELING,PREDOMINANT,Usa tu empatía para detectar bloqueos en el equipo. Presta atención a tu lenguaje corporal y al de otros para generar conexión.,Use body awareness to connect with others. Trust physical sensations to guide decisions.
KINESTÉSICO,FEELING,SUPPORTING,Registra tus emociones al finalizar reuniones. Evalúa qué sentiste y por qué. Mejora tu autoconciencia emocional.,Reflect on how you feel after meetings. Build emotional awareness routines.
KINESTÉSICO,FEELING,DEVELOPMENTAL,Practica conectar con tu cuerpo antes de tomar decisiones: ¿cómo me hace sentir esto? ¿qué sensaciones físicas noto?,Notice your physical sensations before making decisions. Try grounding exercises.
PERSONAS,PEOPLE,PREDOMINANT,Potencia tu influencia conectando individualmente con las personas clave. Crea redes de apoyo y colaboración.,Strengthen your influence by nurturing relationships. Connect individually with key people.
PERSONAS,PEOPLE,SUPPORTING,Pregunta más por la experiencia humana: ¿cómo se siente el equipo? ¿quién necesita más apoyo?,Ask about the human experience in meetings. Who needs support? What’s the emotional climate?
PERSONAS,PEOPLE,DEVELOPMENTAL,Agenda espacios para escuchar a otros más allá de lo técnico. Haz una pausa para reconocer la dimensión relacional de tu entorno.,Create space for informal conversations. Acknowledge the relational side of work.
LUGARES,PLACE,PREDOMINANT,Usa el entorno para motivarte y organizarte. Adapta tu espacio de trabajo para potenciar tu energía y concentración.,Optimize your environment for energy and focus. Design your workspace intentionally.
LUGARES,PLACE,SUPPORTING,Observa en qué lugares trabajas mejor. Ajusta tu ubicación según el tipo de tarea que hagas.,Observe which locations boost your productivity. Match task type with location.
LUGARES,PLACE,DEVELOPMENTAL,Cambia de lugar durante el día. Haz caminatas conscientes observando el entorno. Haz consciente cómo el lugar impacta en ti.,Change physical space during the day. Walk mindfully and reflect on how places affect you.
ACTIVIDADES,ACTIVITY,PREDOMINANT,Estructura tu jornada con acciones claras. Mide tu progreso con listas de tareas o rituales de cierre.,Structure your day with clear actions. Use checklists or rituals to track execution.
ACTIVIDADES,ACTIVITY,SUPPORTING,Evalúa al final del día: ¿qué hice hoy? ¿qué me dio energía? Usa esta reflexión para organizarte mejor.,Reflect daily on what you did and what energized you. Adjust accordingly.
